
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
5471,0.026,0.120,16.472,0.050,0.024,-0.060,0.42,-0.09
5720,0.016,0.140,16.494,0.040,0.020,-0.054,0.49,-0.06
5970,-0.016,0.120,16.488,0.038,0.016,-0.056,0.42,0.06
6220,0.002,0.106,16.490,0.048,0.016,-0.050,0.37,-0.01
6470,0.008,0.094,16.490,0.052,0.020,-0.058,0.33,-0.03
6720,-0.006,0.116,16.490,0.102,0.042,-0.060,0.40,0.02
6970,-0.018,0.128,16.498,0.048,0.010,-0.062,0.44,0.06
7220,-0.002,0.120,16.482,0.046,0.020,-0.064,0.42,0.01
7470,-0.218,-5.216,16.602,-2.802,-1.464,-4.774,-17.44,0.72
7720,4.846,3.730,15.222,0.888,32.767,11.486,13.77,-17.18
7970,5.480,0.514,25.126,9.344,-32.766,-32.766,1.17,-12.30
8220,5.810,0.480,32.072,-6.480,3.656,14.972,0.86,-10.27
8470,-5.442,-7.326,2.690,2.466,-6.692,-6.848,-69.84,34.89
8720,6.686,-1.242,23.208,-1.402,18.040,4.112,-3.06,-16.05
8970,-5.276,-0.846,6.780,-3.742,3.066,3.322,-7.11,37.67
9220,5.552,6.642,20.082,0.652,-29.072,-8.568,18.30,-14.71
9470,3.584,4.152,11.172,-4.272,31.396,14.198,20.39,-16.74
9720,0.272,6.492,29.698,-7.596,-30.692,-12.536,12.33,-0.51
9970,5.462,-3.810,10.210,-3.824,8.546,5.218,-20.46,-26.62
10220,-5.906,0.168,9.598,2.232,2.650,-2.192,1.00,31.60
10470,5.242,-10.108,25.000,1.984,2.052,-4.708,-22.01,-11.00
10720,1.574,-5.052,11.138,-7.274,23.978,8.824,-24.40,-7.33
10970,4.930,-5.018,28.732,7.076,-24.198,-6.908,-9.91,-9.59
11220,5.116,1.708,9.708,-2.334,14.350,2.980,9.98,-27.43
11470,-4.544,-3.116,-0.098,8.454,-2.662,-6.370,-91.80,55.55
11720,4.664,-9.038,13.290,0.376,-7.592,3.090,-34.22,-16.18
11970,5.056,1.496,17.776,-9.270,29.634,10.214,4.81,-15.82
12220,-0.388,-5.412,23.860,13.170,-12.828,-1.030,-12.78,0.91
12470,5.748,-6.724,16.416,3.994,-8.522,-0.638,-22.27,-17.95
12720,-2.622,0.508,4.166,-3.136,-1.374,17.790,6.95,32.00
12970,3.276,5.296,21.620,-8.022,8.222,-11.814,13.76,-8.37
13220,7.222,-13.556,17.326,-0.884,-1.072,22.482,-38.04,-18.17
13470,0.182,5.604,17.762,-1.924,0.086,-1.020,17.51,-0.56
13720,3.188,2.304,12.668,-2.916,-1.510,-10.218,10.31,-13.91
13970,2.234,11.562,22.816,3.996,6.468,27.324,26.87,-4.99
14220,1.412,5.728,19.114,-9.458,-1.662,-13.402,16.68,-4.05
14470,5.724,-9.600,18.294,4.686,-0.228,4.976,-27.69,-15.49
14720,-0.472,8.834,13.106,15.330,0.606,6.476,33.98,1.71
14970,6.100,-11.162,13.460,-10.218,-5.002,-21.444,-39.67,-19.23
15220,5.662,3.376,14.774,15.334,8.642,23.228,12.87,-20.49
15470,2.298,13.520,14.334,-4.452,1.428,-3.086,43.33,-6.65
15720,5.532,-7.590,13.542,-4.218,-7.032,-6.388,-29.27,-19.61
15970,5.752,0.090,9.502,19.382,11.374,21.820,0.54,-31.19
16220,3.330,6.490,14.028,-14.832,-0.238,-5.032,24.83,-12.16
16470,8.976,-14.420,14.492,-7.372,-2.270,-7.356,-44.86,-23.70
16720,4.740,1.730,15.626,9.340,-2.952,22.800,6.32,-16.78
16970,4.928,5.942,14.546,-20.192,4.532,-21.814,22.22,-17.41
17220,8.318,-11.212,11.626,4.152,0.190,4.810,-43.96,-27.25
17470,2.886,6.716,16.814,0.416,-2.314,2.448,21.77,-9.06
17720,11.896,-18.708,14.074,-5.850,-13.216,6.532,-53.05,-26.94
17970,2.144,-6.960,17.380,4.048,1.156,7.224,-21.82,-6.53
18220,2.756,-3.332,11.912,-0.350,-0.864,-0.682,-15.63,-12.56
18470,7.174,-1.670,13.600,3.362,-0.692,-3.616,-7.00,-27.64
18720,7.442,-8.858,20.304,5.092,-5.508,1.148,-23.57,-18.57
18970,-0.026,-0.018,18.936,1.636,1.768,1.038,-0.05,0.08
19220,3.750,-6.538,14.350,1.346,-1.938,-8.706,-24.49,-13.38
19470,9.470,-6.360,17.016,2.560,1.164,-0.478,-20.49,-27.53
19720,0.750,-2.370,17.086,4.756,1.350,6.546,-7.90,-2.49
19970,-0.440,-0.350,18.266,-3.250,-0.506,-3.340,-1.10,1.38
20220,6.444,1.406,13.684,-4.040,0.708,-1.894,5.87,-25.10
20470,6.566,-0.232,17.174,2.524,1.894,1.214,-0.77,-20.92
20720,-1.670,0.128,14.146,3.774,-0.040,-0.646,0.52,6.73
20970,1.572,-2.220,13.570,-2.056,-2.344,0.256,-9.29,-6.52
21220,9.296,-0.752,14.558,-1.282,-0.678,-2.614,-2.96,-32.53
21470,4.398,-0.676,13.706,-0.932,0.598,-0.420,-2.82,-17.77
21720,-1.564,-6.728,20.322,-2.834,2.312,2.854,-18.32,4.18
