
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps
8128,-0.012,-0.206,0.977,-0.718,0.962,-0.733
8378,-0.014,-0.205,0.985,0.031,0.229,-0.489
8628,-0.013,-0.205,0.985,0.366,0.214,-0.489
8878,-0.013,-0.206,0.980,0.076,0.229,-0.489
9128,-0.013,-0.205,0.993,4.031,-0.626,-0.366
9378,-0.016,-0.203,0.985,-0.015,0.244,-0.550
9628,0.042,-0.082,1.071,13.282,-12.931,66.351
9878,-0.073,0.022,1.092,-76.504,10.412,-103.115
10128,-0.114,0.166,0.830,96.519,75.176,-153.954
10378,-0.415,-0.527,0.694,80.412,43.420,-30.412
10628,-0.154,0.155,1.061,-57.618,9.817,68.183
10878,-0.291,0.903,1.217,92.198,103.206,-240.229
11128,-0.360,-0.163,0.832,27.115,-54.519,-114.611
11378,-0.020,0.118,1.373,-180.641,-100.412,245.008
11628,0.129,-0.010,1.151,-40.382,2.137,60.962
11878,0.079,-0.073,1.022,0.183,2.595,-9.405
12128,0.334,-0.010,1.298,-9.267,-20.336,-84.458
12378,-0.118,0.222,1.055,79.496,95.618,-118.214
12628,-0.608,0.103,0.328,-110.962,-59.573,66.336
12878,0.109,-0.153,1.137,-62.687,-42.000,62.992
13128,0.156,-0.246,1.175,17.450,-35.710,26.183
13378,-0.081,0.175,1.051,-31.130,-10.473,-27.634
13628,0.273,-0.295,0.947,-86.519,16.931,-68.260
13878,-0.046,-0.359,0.829,144.641,113.221,-46.641
14128,0.088,0.095,1.029,-8.046,-125.664,54.183
14378,-0.094,-0.219,1.073,-110.748,18.198,43.939
14628,0.303,-0.539,1.079,49.466,33.344,-43.603
14878,-0.079,0.004,0.686,22.412,92.092,26.076
15128,-0.035,-0.054,1.194,-46.916,-72.565,16.458
15378,0.259,-0.203,1.097,-50.565,14.107,-20.153
15628,-0.015,-0.147,1.082,193.878,10.153,-7.847
15878,0.070,-0.006,1.174,38.275,-21.313,37.817
16128,0.144,0.127,0.921,0.076,23.450,23.389
16378,0.187,0.197,1.060,44.168,-43.908,-43.863
16628,0.044,0.363,1.187,128.214,-1.267,-148.443
16878,0.147,0.694,0.655,-217.435,15.023,212.244
17128,0.072,-0.040,1.050,-94.992,-14.321,112.626
17378,0.145,0.185,1.160,140.565,61.573,-95.191
17628,-0.463,0.021,0.229,-92.962,-27.679,68.275
17878,0.392,0.109,1.593,-69.237,-33.267,39.924
18128,0.369,0.114,1.350,112.824,108.275,-104.092
18378,-0.519,0.133,0.119,-4.870,35.221,16.779
18628,0.059,0.121,1.269,-61.832,-73.176,50.397
18878,0.303,0.203,1.179,134.687,6.137,-111.924
19128,-0.113,-0.009,1.030,22.885,-20.611,46.443
19378,0.379,0.726,0.867,-7.420,54.443,83.802
19628,-0.063,0.470,0.571,-9.893,-53.511,8.290
19878,0.218,0.592,0.697,-86.458,36.504,-38.122
20128,0.227,0.510,0.794,-3.069,33.344,-34.519
20378,0.032,0.622,0.897,-13.328,7.847,32.412
20628,0.025,0.837,0.775,-170.260,-91.450,88.977
20878,0.335,0.258,0.984,-49.573,-29.084,61.557
