
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
25001,6.332,1.126,15.484,-0.080,0.038,0.052,4.16,-22.19
25251,6.348,1.090,15.518,-0.092,0.020,0.056,4.02,-22.20
25501,6.338,1.122,15.522,-0.082,0.030,0.066,4.13,-22.16
25751,6.330,1.106,15.542,-0.082,0.044,0.052,4.07,-22.11
26001,6.308,1.142,15.548,-0.080,0.036,0.056,4.20,-22.03
26251,6.350,1.086,15.544,-0.090,0.034,0.050,4.00,-22.17
26501,6.336,1.112,15.542,-0.098,0.026,0.054,4.09,-22.13
26751,6.338,1.092,15.552,-0.086,0.058,0.052,4.02,-22.12
27001,6.334,1.140,15.458,-0.064,0.094,0.056,4.22,-22.23
27251,6.332,1.110,15.562,-0.100,0.002,0.058,4.08,-22.09
27501,6.320,1.110,15.546,-0.086,0.040,0.056,4.08,-22.07
27751,6.310,1.114,15.548,-0.090,0.022,0.062,4.10,-22.04
28001,6.348,1.110,15.538,-0.096,0.022,0.058,4.09,-22.17
28251,6.312,1.118,15.544,-0.076,0.066,0.050,4.11,-22.05
28501,6.326,1.098,15.552,-0.084,0.040,0.048,4.04,-22.09
28751,6.322,1.126,15.534,-0.092,0.026,0.056,4.15,-22.09
29002,6.338,1.104,15.544,-0.084,0.060,0.046,4.06,-22.13
29252,6.350,1.104,15.562,-0.102,0.006,0.056,4.06,-22.15
29502,6.320,1.102,15.534,-0.096,0.012,0.062,4.06,-22.09
29752,6.328,1.126,15.556,-0.086,0.050,0.058,4.14,-22.08
30002,6.316,1.108,15.532,-0.088,0.024,0.054,4.08,-22.08
30252,6.312,1.118,15.552,-0.092,0.022,0.060,4.11,-22.04
30502,6.308,1.140,15.540,-0.076,0.052,0.052,4.20,-22.04
30752,6.334,1.118,15.566,-0.086,0.028,0.062,4.11,-22.09
31003,6.342,1.108,15.556,-0.084,0.038,0.052,4.07,-22.13
31253,6.334,1.122,15.558,-0.088,0.046,0.058,4.12,-22.10
31503,6.358,1.090,15.540,-0.098,0.016,0.058,4.01,-22.20
31753,6.344,1.118,15.546,-0.080,0.048,0.054,4.11,-22.15
32003,6.356,1.136,15.506,-0.092,0.018,0.056,4.19,-22.24
32253,6.308,1.152,15.548,-0.086,0.048,0.044,4.24,-22.03
32503,6.310,1.130,15.528,-0.074,0.066,0.052,4.16,-22.06
32753,6.322,1.102,15.556,-0.090,0.032,0.056,4.05,-22.07
33004,6.316,1.114,15.574,-0.066,0.100,0.038,4.09,-22.02
33254,6.332,1.116,15.558,-0.094,0.014,0.064,4.10,-22.09
33504,6.292,1.120,15.562,-0.080,0.052,0.052,4.12,-21.96
33754,6.354,1.092,15.534,-0.080,0.052,0.050,4.02,-22.20
34004,6.312,1.110,15.546,-0.094,0.006,0.058,4.08,-22.05
34254,6.308,1.104,15.554,-0.100,0.000,0.058,4.06,-22.03
34504,6.318,1.142,15.550,-0.090,0.048,0.038,4.20,-22.06
34754,6.296,1.138,15.572,-0.064,0.098,0.030,4.18,-21.96
35005,6.310,1.114,15.564,-0.100,-0.006,0.068,4.09,-22.02
35255,6.298,1.104,15.560,-0.094,0.018,0.060,4.06,-21.99
35505,6.332,1.124,15.530,-0.098,0.058,0.042,4.14,-22.13
35755,6.338,1.096,15.558,-0.072,0.062,0.050,4.03,-22.12
