
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps
8271,-0.002,-0.154,0.990,-1.618,0.092,-0.412
8521,0.002,-0.156,0.995,-0.046,0.198,-0.427
8771,0.002,-0.157,0.993,0.198,0.198,-0.427
9021,0.001,-0.156,0.994,0.168,0.153,-0.427
9271,0.000,-0.158,0.990,0.061,0.260,-0.473
9521,0.001,-0.156,0.991,0.351,0.183,-0.458
9771,0.002,-0.157,0.992,0.290,0.183,-0.382
10021,0.001,-0.157,0.992,0.489,0.137,-0.427
10271,0.002,-0.157,0.990,0.321,0.153,-0.397
10521,0.000,-0.158,0.990,0.290,0.229,-0.427
10771,0.001,-0.158,0.991,0.275,0.183,-0.443
11021,0.002,-0.157,0.990,0.244,0.153,-0.412
11271,0.001,-0.156,0.992,0.290,0.214,-0.443
11521,-0.007,-0.225,0.785,5.313,1.435,8.977
11771,0.137,0.027,0.979,107.145,73.985,2.458
12021,0.060,-0.161,0.669,8.000,-1.252,50.046
12271,-0.079,0.591,0.940,61.863,9.282,-111.221
12521,-0.144,0.341,0.896,-43.527,11.420,7.740
12771,-0.004,0.311,1.171,185.084,-74.595,-26.107
13021,0.055,-0.012,0.699,-43.649,-13.679,-35.023
13271,0.036,0.629,1.130,214.427,-33.542,-55.649
13521,0.143,-0.011,0.766,72.885,-26.687,1.450
13771,0.276,0.091,1.057,0.153,37.023,-7.573
14021,0.285,0.075,1.060,29.282,-17.466,19.817
14271,0.220,0.077,1.016,-17.511,11.053,-38.153
14521,0.185,0.101,0.996,15.618,0.061,-1.267
14771,-0.138,0.645,0.783,244.824,-83.221,-19.420
15021,0.280,0.299,1.116,70.565,47.298,-34.244
15271,0.235,0.366,0.789,8.580,-10.244,-27.802
15521,0.073,0.538,0.962,-64.244,-18.855,1.191
15771,-0.029,0.505,0.847,6.107,15.435,6.397
16021,0.014,0.473,0.888,47.038,5.985,-7.557
16271,-0.099,0.457,0.816,-24.931,-0.672,0.580
16521,-0.057,0.486,0.827,9.908,4.519,-9.618
16771,-0.026,0.407,0.831,10.473,4.885,-11.466
17021,-0.069,0.797,0.949,-31.863,-1.389,-39.344
17271,-0.398,0.077,0.772,-7.115,-24.031,-46.366
17521,-0.261,0.145,0.892,-16.855,-6.870,-57.359
17771,-0.131,0.185,1.128,33.038,-34.748,-17.496
18021,-0.167,0.106,0.704,-8.183,-140.901,42.092
18271,-0.036,-0.052,0.746,201.588,235.878,-185.420
18521,0.174,-0.446,0.457,250.130,-136.916,-5.160
18771,-0.124,-0.103,0.882,32.031,189.206,-2.351
19021,-0.077,0.096,1.066,-71.603,115.221,87.206
19271,-0.246,0.092,1.135,-18.718,-16.901,46.626
19521,0.206,0.034,1.097,-20.656,23.863,44.382
19771,0.057,0.025,1.021,30.672,37.252,34.885
20021,-0.113,-0.176,0.880,-0.244,58.168,112.229
20271,0.123,-0.015,1.138,-66.321,10.656,139.267
20521,-0.062,0.172,1.098,-26.214,6.183,44.626
20771,-0.049,0.004,1.118,27.908,-59.298,63.115
21021,0.132,-0.049,0.970,41.069,-48.412,124.611
21271,0.296,0.115,0.828,35.695,20.458,100.382
21521,0.232,0.082,0.878,45.908,35.969,42.840
21771,0.154,0.075,0.989,31.756,1.405,104.748
22021,0.258,0.380,0.911,-4.031,-20.626,41.420
22271,0.031,-0.099,1.263,46.382,-36.687,137.634
22521,0.349,0.053,0.715,41.573,51.160,63.878
22771,0.430,0.288,1.114,-24.031,66.947,33.435
23021,-0.017,0.269,0.987,12.565,-1.634,-33.191
23271,0.236,0.255,0.942,-7.679,13.664,-58.412
23521,0.408,0.230,1.106,-6.962,-95.969,-124.000
23771,0.133,0.059,0.541,-53.649,-59.664,-174.015
24021,-0.052,0.353,1.043,-33.359,38.183,29.313
24271,0.092,-0.436,-1.293,-179.710,134.489,19.420
24521,-0.405,-0.717,0.207,-107.847,116.824,-59.710
24771,0.267,-0.737,-0.964,-250.122,250.130,34.534
25021,-0.273,0.103,-0.691,227.038,-31.740,-25.695
25271,-0.438,-0.143,-1.115,151.878,-109.511,-70.214
25521,-0.215,-0.502,-0.604,40.275,-155.221,-85.939
25771,-0.820,-0.987,0.535,250.130,-28.702,12.015
26021,-0.025,-0.924,0.058,101.053,-26.901,-73.847
26271,-0.312,-1.080,1.041,-56.519,148.427,6.168
26521,0.143,-0.214,0.396,74.702,-150.168,162.046
26771,-0.356,-0.361,0.358,-97.038,89.527,29.725
27021,-0.301,-0.821,0.957,53.038,-32.351,-123.817
27271,-0.138,-0.352,0.862,-9.786,22.565,-9.099
27521,-0.376,-0.800,1.305,17.863,-6.641,-20.046
27771,-0.128,-0.322,0.652,75.588,-8.351,3.466
28021,-0.321,-0.345,0.708,-16.824,15.221,-71.237
28271,-0.079,-0.200,1.017,-12.595,44.153,-87.267
28521,-0.454,-0.283,0.904,26.702,-37.237,-76.824
28771,-0.321,-0.719,1.111,39.160,19.176,85.069
29021,-0.043,-0.127,0.511,32.076,-5.649,-3.191
29271,-0.420,-0.574,1.216,63.374,-73.099,-161.115
29521,-0.410,-0.318,0.744,-14.382,53.160,-71.969
29771,0.035,-0.049,1.183,155.267,-77.695,-30.305
30021,-0.044,-0.227,0.932,48.550,-8.916,86.046
30271,-0.176,0.077,0.934,-38.473,24.290,-19.939
30521,0.045,-0.399,1.236,70.947,2.504,-65.466
30771,-0.121,-0.189,0.689,-104.153,13.969,-94.260
31021,-0.609,-0.343,1.020,-39.115,70.641,24.702
31271,0.082,-0.117,0.552,-3.038,59.145,94.626
31521,-0.310,0.054,0.749,4.473,26.809,-43.847
31771,-0.343,-0.058,0.994,43.664,-29.405,-44.809
32021,-0.756,-0.252,0.861,-3.893,-4.824,18.275
32271,-0.583,-0.477,1.106,24.168,-28.885,83.924
