
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
13672,0.033,-0.078,1.000,0.183,0.214,-0.397,-4.45,-1.89
13922,0.032,-0.077,1.001,0.901,0.168,-0.397,-4.38,-1.82
14172,0.032,-0.078,1.002,0.351,0.168,-0.305,-4.44,-1.82
14422,0.033,-0.077,1.001,0.351,0.183,-0.351,-4.42,-1.87
14672,0.031,-0.076,1.002,0.229,0.183,-0.336,-4.35,-1.77
14922,0.032,-0.078,1.003,0.214,0.198,-0.321,-4.42,-1.81
15172,0.031,-0.079,0.999,0.397,0.122,-0.321,-4.52,-1.79
15422,0.033,-0.079,1.002,0.244,0.153,-0.412,-4.54,-1.86
15672,0.032,-0.076,1.002,0.198,0.168,-0.366,-4.35,-1.82
15922,0.033,-0.074,1.002,0.382,0.153,-0.366,-4.21,-1.87
16172,0.031,-0.078,1.001,0.427,0.183,-0.382,-4.46,-1.78
16422,0.001,0.084,1.024,-2.366,-2.122,-3.832,4.68,-0.06
16672,-0.016,0.053,1.012,1.420,-6.458,1.237,3.00,0.93
16922,0.000,-0.007,1.289,-55.023,-1.527,-11.115,-0.33,-0.00
17172,0.151,0.022,1.000,101.038,70.321,-21.038,1.24,-8.57
17422,0.105,0.232,1.066,-14.076,27.038,26.382,12.26,-5.50
17672,0.031,-0.001,0.922,-63.573,-44.519,-11.679,-0.05,-1.95
17922,0.066,0.116,1.258,12.855,4.336,-15.695,5.27,-3.01
18172,0.130,-0.003,1.013,3.084,15.084,-6.122,-0.19,-7.31
18422,0.054,0.036,1.097,19.542,25.344,2.382,1.88,-2.84
18672,0.120,0.229,1.058,-47.725,2.611,7.099,12.24,-6.33
18922,0.124,-0.018,0.998,-23.954,15.511,11.893,-1.04,-7.09
19172,0.061,0.062,0.990,52.183,7.924,-1.206,3.56,-3.54
19422,0.091,0.051,0.970,-5.496,-8.366,-16.748,2.98,-5.38
19672,0.104,0.158,0.991,42.931,-1.618,1.420,9.04,-5.92
19922,0.144,0.016,1.015,2.183,-8.168,-4.336,0.88,-8.09
20172,0.229,-0.001,0.939,-17.084,22.473,20.779,-0.06,-13.68
20422,0.089,0.132,1.123,-4.824,-1.130,-1.435,6.71,-4.48
20672,0.078,0.155,0.946,-15.863,7.328,0.443,9.33,-4.67
20922,0.118,0.035,1.041,13.786,-18.534,-31.817,1.95,-6.44
21172,0.128,0.203,0.837,11.603,3.115,-11.145,13.65,-8.45
21422,-0.026,0.043,1.143,-4.427,-37.634,-50.229,2.18,1.28
21672,0.251,0.029,1.203,-84.275,-16.748,-17.145,1.37,-11.79
21922,0.212,-0.033,0.930,55.206,23.344,-8.473,-2.01,-12.83
22172,0.187,0.084,1.049,14.092,-12.595,12.351,4.59,-10.09
22422,-0.299,0.575,0.922,-167.756,-63.160,80.015,31.96,15.37
22672,0.035,0.394,1.192,-12.046,30.137,-15.450,18.28,-1.59
22922,0.223,0.033,0.927,-53.817,-43.588,12.122,2.02,-13.53
23172,0.265,0.165,0.959,15.237,12.534,-2.443,9.78,-15.22
23422,0.147,0.354,1.017,21.618,43.786,29.969,19.18,-7.78
23672,0.101,0.243,0.865,-9.038,-5.817,60.076,15.68,-6.41
23922,0.018,0.368,1.101,-26.427,3.099,10.000,18.50,-0.89
24172,0.144,0.097,0.970,-26.031,-9.405,80.443,5.70,-8.41
24422,0.228,-0.015,1.194,-21.832,69.649,36.107,-0.72,-10.83
24672,0.557,0.179,1.054,-211.130,250.130,202.763,9.63,-27.53
24922,-0.060,-0.453,0.897,20.198,8.397,10.260,-26.79,3.43
25172,0.007,-0.322,0.934,1.344,0.229,-0.611,-19.05,-0.40
25422,-0.084,-0.288,0.900,3.603,27.206,-76.840,-17.73,5.07
25672,0.005,-0.290,0.964,2.076,0.168,-0.351,-16.72,-0.26
25922,0.004,-0.289,0.963,0.611,0.168,-0.321,-16.69,-0.21
26172,0.005,-0.289,0.964,0.504,0.168,-0.366,-16.72,-0.28
26422,0.004,-0.287,0.962,0.672,0.168,-0.321,-16.60,-0.24
26672,0.006,-0.284,0.963,0.504,0.153,-0.412,-16.40,-0.36
26922,0.005,-0.285,0.963,0.458,0.153,-0.473,-16.50,-0.26
27172,0.004,-0.285,0.963,0.427,0.168,-0.412,-16.50,-0.25
27422,0.004,-0.285,0.962,0.595,0.198,-0.382,-16.47,-0.20
27672,0.003,-0.284,0.962,0.504,0.183,-0.412,-16.45,-0.15
27922,0.002,-0.283,0.963,0.458,0.229,-0.336,-16.36,-0.13
28172,0.004,-0.283,0.963,0.489,0.183,-0.351,-16.39,-0.23
28422,0.005,-0.280,0.964,0.519,0.183,-0.366,-16.21,-0.29
28672,0.005,-0.281,0.963,0.427,0.122,-0.351,-16.27,-0.26
28922,0.003,-0.281,0.963,0.458,0.153,-0.351,-16.26,-0.20
29172,0.003,-0.281,0.962,0.489,0.198,-0.397,-16.29,-0.17
29422,0.004,-0.279,0.963,0.504,0.168,-0.336,-16.17,-0.24
29672,0.004,-0.279,0.964,0.412,0.107,-0.351,-16.15,-0.22
29922,0.003,-0.280,0.964,0.443,0.198,-0.336,-16.22,-0.17
30172,0.003,-0.279,0.963,0.382,0.183,-0.336,-16.16,-0.19
30422,0.005,-0.278,0.965,0.443,0.153,-0.321,-16.07,-0.27
30672,0.006,-0.279,0.965,0.443,0.153,-0.351,-16.10,-0.33
30922,0.005,-0.279,0.965,0.443,0.137,-0.382,-16.13,-0.26
31172,0.004,-0.277,0.965,0.427,0.183,-0.366,-16.02,-0.23
31422,0.005,-0.277,0.965,0.427,0.137,-0.412,-16.03,-0.28
31672,0.005,-0.278,0.965,0.412,0.168,-0.351,-16.07,-0.28
31922,0.004,-0.278,0.964,0.458,0.183,-0.351,-16.08,-0.23
32172,0.003,-0.278,0.965,0.412,0.137,-0.351,-16.05,-0.18
32422,0.004,-0.277,0.964,0.382,0.122,-0.397,-16.02,-0.22
32672,0.004,-0.276,0.965,0.458,0.198,-0.382,-15.97,-0.22
32922,0.005,-0.276,0.964,0.366,0.137,-0.321,-15.98,-0.28
33172,0.005,-0.276,0.965,0.397,0.168,-0.366,-15.94,-0.27
33422,0.004,-0.276,0.965,0.397,0.137,-0.366,-15.98,-0.21
