(-2.4898, -0.229828, 6.12875)
(-1.41727, -2.10676, 8.00568)
(0.766094, -2.4515, 8.38873)
(0.842703, -1.53219, 8.77177)
(-0.0766094, -0.114914, 9.92091)
(-0.191523, -0.842703, 9.65278)
(-0.0383047, -0.995922, 9.92091)
(0.0, -0.842703, 9.72939)
(-0.114914, -1.11084, 9.69109)
(0.0383047, -0.919312, 9.65278)
(-0.229828, -0.804398, 10.2273)
(0.0, -0.881008, 9.806)
(-0.153219, -0.766094, 9.69109)
(-0.268133, -0.995922, 9.95922)
(-0.268133, -1.14914, 9.61448)
(-0.0383047, -1.03423, 9.92091)
(-0.153219, -1.11084, 9.38465)
(-0.0383047, -0.957617, 9.95922)
(-0.0383047, -1.14914, 9.69109)
(-0.0383047, -1.18745, 9.76769)
(-0.191523, -1.30236, 9.42295)
(0.0, -1.18745, 9.88261)
(-0.0383047, -1.07253, 9.88261)
(-0.114914, -1.22575, 9.88261)
(0.0, -1.18745, 9.99752)
(-0.0383047, -1.14914, 9.92091)
(-0.114914, -1.14914, 9.53786)
(0.0, -1.22575, 10.0741)
(0.0, -1.14914, 10.2273)
(-0.191523, -1.14914, 9.88261)
(-0.0383047, -1.14914, 9.8443)
(-0.0766094, -1.11084, 9.76769)
(-0.191523, -1.14914, 9.806)
(-0.114914, -1.14914, 9.8443)
(-0.0383047, -1.14914, 9.76769)
(0.0766094, -1.14914, 9.57617)
(-0.0766094, -1.22575, 9.88261)
(-0.268133, -1.11084, 9.76769)
(-0.191523, -1.26405, 9.76769)
(-0.191523, -1.22575, 9.76769)
(-0.229828, -1.11084, 9.95922)
(-0.0383047, -1.26405, 9.806)
(-0.0383047, -1.22575, 9.72939)
(-0.153219, -1.14914, 9.72939)
(-0.268133, -1.37897, 9.88261)
(-0.306437, -1.22575, 9.76769)
(-0.229828, -1.14914, 9.95922)
(-0.153219, -1.26405, 9.61448)
(-0.459656, -1.45558, 9.806)
(-0.229828, -1.41727, 9.61448)
(-0.0383047, -1.03423, 9.76769)
(-0.153219, -1.34066, 9.806)
(-0.114914, -1.26405, 9.72939)
(-0.153219, -1.22575, 9.76769)
(-0.191523, -1.22575, 9.95922)
(-0.114914, -1.14914, 9.61448)
(-0.268133, -1.22575, 9.76769)
(-0.229828, -1.22575, 10.1124)
(-0.268133, -1.11084, 9.92091)
(-0.191523, -1.22575, 9.806)
(-0.153219, -1.18745, 9.806)
(-0.0766094, -1.41727, 9.8443)
(-0.306437, -1.37897, 9.69109)
(-0.191523, -1.14914, 9.8443)
(-0.191523, -1.14914, 10.0358)
(-0.229828, -1.22575, 9.72939)
(-0.536266, -1.22575, 9.92091)
(-0.229828, -1.14914, 9.88261)
(-0.153219, -1.34066, 9.61448)
(-0.191523, -1.26405, 9.8443)
(-0.383047, -1.26405, 9.95922)
(-0.114914, -1.26405, 9.49956)
(-0.306437, -1.18745, 9.95922)
(-0.344742, -1.18745, 9.76769)
(-0.229828, -1.22575, 9.806)
(-0.191523, -1.22575, 9.806)
(-0.268133, -1.14914, 9.72939)
(0.0, -1.14914, 9.72939)
(-0.268133, -1.11084, 9.806)
(-0.306437, -1.14914, 9.88261)
(-0.191523, -1.11084, 10.189)
(-0.229828, -1.26405, 9.76769)
(-0.153219, -1.18745, 9.76769)
(-0.153219, -1.18745, 9.72939)
(-0.191523, -1.11084, 9.806)
(-0.0383047, -1.14914, 9.806)
(-0.383047, -1.18745, 9.95922)
(-0.306437, -1.22575, 9.46126)
(-0.306437, -1.03423, 9.8443)
(-0.229828, -1.26405, 9.69109)
(-0.344742, -1.18745, 9.72939)
(-0.383047, -1.26405, 9.57617)
(-0.153219, -1.26405, 9.69109)
